,left_eye_center_x,left_eye_center_y,right_eye_center_x,right_eye_center_y,left_eye_inner_corner_x,left_eye_inner_corner_y,left_eye_outer_corner_x,left_eye_outer_corner_y,right_eye_inner_corner_x,right_eye_inner_corner_y,right_eye_outer_corner_x,right_eye_outer_corner_y,left_eyebrow_inner_end_x,left_eyebrow_inner_end_y,left_eyebrow_outer_end_x,left_eyebrow_outer_end_y,right_eyebrow_inner_end_x,right_eyebrow_inner_end_y,right_eyebrow_outer_end_x,right_eyebrow_outer_end_y,nose_tip_x,nose_tip_y,mouth_left_corner_x,mouth_left_corner_y,mouth_right_corner_x,mouth_right_corner_y,mouth_center_top_lip_x,mouth_center_top_lip_y,mouth_center_bottom_lip_x,mouth_center_bottom_lip_y
0,66.0335639098,39.0022736842,30.2270075188,36.4216781955,59.582075188000005,39.647422556399995,73.1303458647,39.9699969925,36.3565714286,37.3894015038,23.4528721805,37.3894015038,56.9532631579,29.0336481203,80.2271278195,32.2281383459,40.2276090226,29.0023218045,16.3563789474,29.6474706767,44.4205714286,57.0668030075,61.1953082707,79.9701654135,28.6144962406,77.38899248119999,43.3126015038,72.9354586466,43.1307067669,84.4857744361
1,64.3329361702,34.9700765957,29.949276595700002,33.4487148936,58.856170212799995,35.2743489362,70.7227234043,36.1871659574,36.034723404299996,34.3615319149,24.472510638299998,33.1444425532,53.9874042553,28.2759489362,78.634212766,30.405923404299998,42.7288510638,26.1460425532,16.8653617021,27.058859574499998,48.2062978723,55.6609361702,56.4214468085,76.352,35.122382978699996,76.0476595745,46.684595744700005,70.2665531915,45.467914893599996,85.48017021279999
2,65.0570526316,34.9096421053,30.903789473699998,34.9096421053,59.412,36.3209684211,70.9844210526,36.3209684211,37.6781052632,36.3209684211,24.976421052600003,36.603221052600006,55.7425263158,27.570947368400002,78.88736842109999,32.6516210526,42.1938947368,28.1354526316,16.7911578947,32.0871157895,47.5572631579,53.5389473684,60.8229473684,73.0143157895,33.7263157895,72.732,47.2749473684,70.1917894737,47.2749473684,78.6593684211
3,65.2257391304,37.261773913,32.0230956522,37.261773913,60.0033391304,39.1271791304,72.3147130435,38.380966956500004,37.6186434783,38.754114782600006,25.3072695652,38.0079026087,56.433808695699994,30.929864347800002,77.9102608696,31.6657252174,41.6715130435,31.0499895652,20.4580173913,29.909342608699998,51.8850782609,54.1665391304,65.5988869565,72.7037217391,37.2454956522,74.1954782609,50.3031652174,70.0916869565,51.5611826087,78.2683826087
4,66.72530061350001,39.6212613497,32.244809816,38.0420319018,58.56588957060001,39.6212613497,72.5159263804,39.8844662577,36.9823803681,39.0948515337,22.5061104294,38.3052368098,57.2495705521,30.672176687100002,77.7629447853,31.7372466258,38.035435582800005,30.9353815951,15.925869938699998,30.672176687100002,43.29953374229999,64.88952147239999,60.6714110429,77.52323926380001,31.1917546012,76.9973006135,44.9627484663,73.70738650310001,44.2271411043,86.8711656442
5,69.6807476636,39.9687476636,29.1835514019,37.563364486,62.8642990654,40.169271028000004,76.8982429907,41.1718878505,36.401046729,39.367626168200005,21.7655327103,38.565532710300005,59.7662803738,31.6512897196,83.3136448598,35.3580560748,39.408,30.5463925234,14.9490841121,32.1501308411,52.4684859813,58.8,64.8690841121,82.4711775701,31.9904299065,81.6690841121,49.3081121495,78.4876261682,49.4323738318,93.89876635510001
6,64.13186577180001,34.2900402685,29.578953020100002,33.1380402685,57.7971543624,35.1540402685,69.0265771812,34.2900402685,34.7616644295,33.7140402685,24.108241610700002,33.1380402685,58.6611543624,27.0913288591,76.2252885906,29.107328859099997,40.233020134200004,27.0913288591,19.500885906,27.6673288591,46.8550872483,53.006174496599996,55.7817986577,70.5709530201,33.8983087248,70.2829530201,45.1277315436,65.0995973154,45.415731543599996,78.0570201342
7,67.46889320390001,39.4134524272,29.355961165,39.6217165049,59.5549514563,40.4547728155,75.5916116505,40.0382446602,37.4782135922,40.4547728155,21.0253980583,40.0382446602,56.01413592229999,27.333902912600003,84.1304854369,31.2910135922,39.7691650485,26.9173747573,11.861592233,31.9158058252,47.891883495100004,56.907961165,66.843961165,80.0257864078,30.1892038835,81.275184466,48.100194174799995,71.2786019417,48.516815533999996,91.0639223301
8,65.80288,34.7552,27.47584,36.1856,58.652159999999995,37.32928,72.95296,35.89952,36.3424,37.0432,20.325120000000002,37.615359999999995,57.50784,25.0304,79.2736,28.634240000000002,36.3424,26.17472,12.88896,31.322879999999998,48.069759999999995,55.34848,65.5168,73.36832,31.19424,74.79808,49.213440000000006,67.648,49.499520000000004,83.09312
9,64.1212307692,36.7403076923,29.4689230769,38.3901538462,58.6209230769,37.8406153846,71.27199999999999,37.2903384615,36.3446153846,39.4904615385,22.8683076923,40.0406153846,56.97107692310001,28.4897230769,75.9470769231,29.5897846154,36.619076923099996,29.3147692308,16.8178461538,33.9901538462,48.9950769231,54.341538461499994,65.77169230770001,69.1926153846,32.7692307692,72.2178461538,49.270153846199996,67.5427692308,49.5452307692,76.8935384615
10,65.2301886792,34.3426415094,28.8027169811,33.9378113208,58.7538113208,35.5571320755,70.08633962260001,35.5571320755,34.4694339623,35.1523018868,24.350490565999998,35.5571320755,53.896754717,28.2710943396,76.1578867925,28.2710943396,38.5168301887,26.2478490566,16.6605283019,27.867169811300002,47.421283018900006,51.74671698109999,57.134490566000004,71.5797735849,34.0646037736,70.7701132075,46.469433962299995,65.2600754717,46.206792452799995,81.6978113208
11,66.7376,39.8864,30.2704,38.8144,61.0176,39.8864,73.1736,41.3168,36.348,39.8864,24.9072,39.5288,55.6544,29.875999999999998,81.0392,35.596,44.2136,29.1608,15.612,34.1664,48.504,56.6904,61.7328,82.432,33.488,81.36,48.504,72.7792,47.7888,94.588
